ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
1733	t	1	⁴	Ø	Ø	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	⁴²	Ø	4501:2
1734	i	1	tɕ	tɕ	tɕ	tɕ	ts	tɕ	tɕ	tɕ	tʰ	tɕ	4500:0
1735	m	1	-	i/j	i/j	-	-	i/j	i/j	-	-	i/j	4500:1
1736	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	ɯ	ɛ	4500:2
1737	t	1	¹	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁵⁵	4500:3
1738	i	1	ʂ	ʂ	Ø	x	ɕ	Ø	Ø	s	Ø	s	4522:0
1739	n	1	u	u	Ø	u	y	Ø	Ø	v/ʯ	Ø	u	4522:1
1740	t	1	¹	⁵⁵	Ø	²⁴	⁵⁵	Ø	Ø	⁵⁵	Ø	⁵⁵	4522:2
1741	i	1	n	Ø	Ø	Ø	Ø	-	-	Ø	-	ɲ	4525:0
1742	m	1	j	Ø	Ø	Ø	Ø	j	j	Ø	j	i/j	4525:1
1743	n	1	i	Ø	Ø	Ø	Ø	i	ĩ	Ø	e	ɯ	4525:2
1744	c	1	-	Ø	Ø	Ø	Ø	-	-	Ø	n	-	4525:3
1745	t	1	²	Ø	Ø	Ø	Ø	⁵⁵	³³	Ø	³³	³³	4525:4
1746	i	1	m	Ø	m	m	m	m	Ø	m	m	m	4537:0
1747	n	1	ɯ	Ø	ɯ	ɯ	u	ɯ	Ø	əɯ	ɯ	ɯ	4537:1
1748	t	1	²	Ø	²²	²²	²²	²²	Ø	³³	³³	³³	4537:2
1749	i	1	s	ʂ	ɕ	Ø	Ø	ɕ	s	s	ʂ	s	4548:0
1750	m	1	r	-	i	Ø	Ø	i	-	-	-	-	4548:1
1751	n	1	o	o	u	Ø	Ø	u	ṽ/ʯ̃	u	v/ʯ	v/ʯ	4548:2
1752	t	1	⁵	⁴²	⁴²	Ø	Ø	⁴²	³¹	³¹	²¹	³¹	4548:3
1753	i	1	qʰ	kʰ	k	qʰ	qʰ	k	kʰ	kʰ	qʰ	kʰ	4557:0
1754	n	1	ɔ	ou	v/ʯ	o	ao	v/ʯ	ou	ə	ɔ	o	4557:1
1755	t	1	¹	⁵⁵	⁴²	²⁴	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4557:2
1756	i	1	d	Ø	t	d	Ø	t	Ø	Ø	Ø	t	4571:0
1757	m	1	u/w	Ø	u/w	u/w	Ø	u/w	Ø	Ø	Ø	u/w	4571:1
1758	n	1	a	Ø	a	a	Ø	a	Ø	Ø	Ø	a	4571:2
1759	t	1	⁴	Ø	⁴²	²¹	Ø	⁴²	Ø	Ø	Ø	⁴²	4571:3
1760	i	1	q	k	q	q	Ø	q	k	kʰ	q	k	4581:0
1761	n	1	ɯ	ɯ	ɯ	ɯ	Ø	ɯ	ɯ	v/ʯ	ɚ/ə	ɯ	4581:1
1762	t	1	¹	³⁵	⁵⁵	²⁴	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4581:2
1763	i	1	n	-	Ø	ɲ	-	Ø	-	-	-	-	4591:0
1764	m	1	j	j	Ø	i/j	j	Ø	j	j	j	j	4591:1
1765	n	1	o	o	Ø	o	o	Ø	õ	o	v/ʯ	ou	4591:2
1766	c	1	ŋ	ŋ	Ø	-	ŋ	Ø	-	ŋ	ŋ	-	4591:3
1767	t	1	²	³³	Ø	²²	²²	Ø	³³	³³	³³	⁴⁴	4591:4
1768	i	1	ɣ	ɣ	Ø	Ø	ɣ	ɣ	ɣ	ɣ	ɣ	ɣ	4602:0
1769	n	1	ɯ	ɯ	Ø	Ø	ɯ	ɯ	ə	ɯ	ɯ	ɯ	4602:1
1770	t	1	³	³¹	Ø	Ø	⁴²	²¹	³¹	²¹	²¹	³¹	4602:2
1771	i	1	b	v	v	v	b	Ø	Ø	p	v	ɕ	4613:0
1772	m	1	j	-	-	-	v	Ø	Ø	-	-	i/j	4613:1
1773	n	1	ɛ	õ	ɛ	ᴇ/ɛ	u	Ø	Ø	i	ɚ/ə	ou	4613:2
1774	t	1	²	³³	²²	²²	²²	Ø	Ø	³³	³³	³³	4613:3
1775	i	1	n	Ø	n	n	n	n	n	Ø	n	n	4625:0
1776	n	1	o	Ø	õ	o	o	o	ṽ/ʯ̃	Ø	o	o	4625:1
1777	c	1	ŋ	Ø	-	-	ŋ	ŋ	-	Ø	ŋ	-	4625:2
1778	t	1	⁵	Ø	⁴²	⁴³	⁴²	⁴²	⁴²	Ø	²¹	⁴²	4625:3
1779	i	1	b	Ø	p	Ø	Ø	p	p	pʰ	Ø	p	4647:0
1780	n	1	ɛ	Ø	ɛ	Ø	Ø	e	e	ɛ	Ø	e	4647:1
1781	t	1	⁴	Ø	⁴²	Ø	Ø	⁴²	⁴²	⁴²	Ø	⁴²	4647:2
1782	i	1	Ø	tɕʰ	Ø	tɕʰ	tsʰ	Ø	Ø	Ø	tɕʰ	Ø	4646:0
1783	m	1	Ø	i/j	Ø	i/j	-	Ø	Ø	Ø	i/j	Ø	4646:1
1784	n	1	Ø	ɚ/ə	Ø	o	a	Ø	Ø	Ø	a	Ø	4646:2
1785	t	1	Ø	⁴⁴	Ø	⁴³	²⁴	Ø	Ø	Ø	⁴²	Ø	4646:3
1786	i	1	b	p	Ø	p	b	Ø	p	p	b	p	4657:0
1787	n	1	æ	ə	Ø	æ	æ	Ø	ɑ	ɚ/ə	a	ɛ	4657:1
1788	t	1	¹	²¹	Ø	²¹	¹²	Ø	⁴⁴	²¹	³⁵	²¹	4657:2
1789	i	1	tʰ	ʈʂʰ	Ø	tʰ	ʈʂʰ	ʈʰ	tsʰ	tsʰ	tʰ	ʈʂ	4676:0
1790	m	1	r	-	Ø	i	-	-	-	-	-	-	4676:1
1791	n	1	u	u	Ø	u	y	u	u	u	v/ʯ	v/ʯ	4676:2
1792	t	1	¹	⁵⁵	Ø	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4676:3
1793	n	1	ɔ	ou	o	u	Ø	u	ou	o	o	ou	4708:0
1794	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	Ø	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	4708:1
1795	i	1	q	k	q	q	q	q	k	k	q	k	4720:0
1796	n	1	æ	e	a	æ	ɛ	a	i	ĩ	a	ɛ	4720:1
1797	c	1	n	-	-	-	-	-	-	-	n	-	4720:2
1798	t	1	¹	⁵⁵	⁴⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4720:3
1799	i	1	d	ʈʂ	t	tʲ	d	ʈ	ts	tsʰ	d	ts	4731:0
1800	m	1	r	-	-	-	j	-	-	-	-	-	4731:1
1801	n	1	ɛ	e	i	ᴇ/ɛ	ɛ	ɚ/ə	e	ɛ	e	e	4731:2
1802	t	1	⁴	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	4731:3
1803	i	1	ts	ts	tɕ	tɕ	ts	ts	ts	ts	ts	Ø	4742:0
1804	m	1	-	-	i/j	i/j	-	-	-	-	-	Ø	4742:1
1805	n	1	u	o	o	a	i	õ	ṽ/ʯ̃	o	v/ʯ	Ø	4742:2
1806	c	1	ŋ	-	-	-	-	-	-	ŋ	ŋ	Ø	4742:3
1807	t	1	¹	¹³	⁵⁵	⁵⁵	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	4742:4
1808	i	1	Ø	f	Ø	f	pf	Ø	f	Ø	f	f	4752:0
1809	n	1	Ø	v/ʯ	Ø	ᴇ/ɛ	u	Ø	v/ʯ	Ø	ɚ/ə	v/ʯ	4752:1
1810	t	1	Ø	⁵⁵	Ø	²⁴	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	⁵⁵	4752:2
1811	i	1	d	ʈʂ	dʑ	d	ɖʐ	ɖ	ts	dz	d	ts	4763:0
1812	m	1	r	-	-	i/j	-	-	-	-	i/j	-	4763:1
1813	n	1	ɯ	ɯ	i	ɯ	i	ɯ	ɯ	əɯ	ɯ	ɯ	4763:2
1814	t	1	³	²¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	4763:3
1815	i	1	d	t	t	t	t	k	t	t	d	s	4774:0
1816	m	1	u/w	u/w	-	y/ɥ	y/ɥ	u/w	u/w	-	u/w	-	4774:1
1817	n	1	ɛ	i	i	i	ɛ	e	i	ɛ	e	ɯ	4774:2
1818	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁵⁵	⁴²	⁴²	²¹	³³	4774:3
1819	i	1	ɖʐ	ʈʂ	z	tɕ	z	z	ts	ts	ʐ	ts	4787:0
1820	m	1	u/w	u/w	y/ɥ	y/ɥ	y/ɥ	y/ɥ	u/w	u/w	y/ɥ	u/w	4787:1
1821	n	1	e	e	ɛ	ᴇ/ɛ	e	e	e	a	e	e	4787:2
1822	c	1	n	n	-	-	n	-	n	n	n	-	4787:3
1823	t	1	?/⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	4787:4
1824	i	1	tɕ	Ø	Ø	tɕ	tɕ	tɕ	Ø	tɕ	tɕ	k	4798:0
1825	n	1	u	Ø	Ø	i	i	i	Ø	i	ɯ	u	4798:1
1826	t	1	¹	Ø	Ø	²⁴	²²	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	4798:2
1827	i	1	k	Ø	Ø	k	k	k	Ø	k	k	k	4799:0
1828	n	1	ɯ	Ø	Ø	ɯ	ɯ	ɯ	Ø	əɯ	ɯ̃	u	4799:1
1829	t	1	¹	Ø	Ø	²⁴	¹²	⁵⁵	Ø	⁵⁵	⁰	³¹	4799:2
1830	i	1	n	n	Ø	n	n	Ø	n	n	n	n	4815:0
1831	n	1	e	e	Ø	ᴇ/ɛ	ɛ	Ø	e	e	e	e	4815:1
1832	t	1	⁴	⁴⁴	Ø	⁵⁵	⁵⁵	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	4815:2
1833	i	1	ts	Ø	Ø	Ø	Ø	Ø	ts	ts	Ø	ts	4834:0
1834	m	1	u/w	Ø	Ø	Ø	Ø	Ø	u/w	u/w	Ø	u/w	4834:1
1835	n	1	ɛ	Ø	Ø	Ø	Ø	Ø	i	ɛ	Ø	e	4834:2
1836	t	1	⁴	Ø	Ø	Ø	Ø	Ø	⁴⁴	⁴⁴	Ø	⁴⁴	4834:3
1837	i	1	tsʰ	tsʰ	tsʰ	tsʰ	Ø	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	4844:0
1838	n	1	o	ou	o	u	Ø	o	ou	o	u	o	4844:1
1839	t	1	⁴	³³	⁵⁵	⁵⁵	Ø	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	4844:2
1840	i	1	k	k	k	k	k	k	k	k	kp/k	k	4854:0
1841	n	1	o	o	v/ʯ	u	o	o	õ	o	ə	ou	4854:1
1842	c	1	ŋ	ŋ	-	-	ŋ	ŋ	-	ŋ	ŋ	-	4854:2
1843	t	1	²	³³	³³	²²	³³	³³	³³	³³	³³	³³	4854:3
1844	i	1	ɣ	tɕ	q	q	q	g	tɕ	k	q	tɕ	4866:0
1845	m	1	-	i/j	-	-	-	-	-	-	-	-	4866:1
1846	n	1	ɯ̃	ou	ɯ	ɯ	ɯ	ɯ̃	ou	əɯ	ɯ	ou	4866:2
1847	t	1	²	⁵⁵	²²	²²	²²	²²	⁵⁵	³³	³³	⁵⁵	4866:3
1848	i	1	tʰ	tʰ	tʰ	Ø	tʰ	ʈʰ	tʰ	tsʰ	tʰ	tsʰ	4879:0
1849	m	1	j	-	-	Ø	u/w	-	-	-	-	-	4879:1
1850	n	1	e	e	o	Ø	a	ɚ/ə	e	u	i	u	4879:2
1851	t	1	⁴	³³	⁵⁵	Ø	²²⁴	⁵⁵	⁴⁴	³³	⁴²	³³	4879:3
1852	i	1	ʈ	Ø	Ø	t	Ø	ʈ	ts	ts	t	ts	4891:0
1853	m	1	-	Ø	Ø	i/j	Ø	-	-	-	i/j	-	4891:1
1854	n	1	ɯ	Ø	Ø	ɯ	Ø	ɯ	ɯ	əɯ	ɯ	ɯ	4891:2
1855	t	1	²	Ø	Ø	²²	Ø	²²	³³	³³	³³	³³	4891:3
1856	i	1	g	Ø	g	g	g	g	Ø	k	g	k	4900:0
1857	n	1	ɯ̃	Ø	ɯ	ɯ	ɯ	ɯ̃	Ø	əɯ	e	ɯ	4900:1
1858	c	1	-	Ø	-	-	-	-	Ø	-	ŋ	-	4900:2
1859	t	1	³	Ø	⁴²	⁴³	⁴²	⁴²	Ø	²¹	²¹	³¹	4900:3
1860	i	1	k	k	Ø	k	Ø	k	k	k	k	k	4909:0
1861	n	1	a	ã	Ø	a	Ø	ã	ɑ̃	a	a	a	4909:1
1862	c	1	ŋ	-	Ø	-	Ø	-	-	ŋ	ŋ	-	4909:2
1863	t	1	¹	³⁵	Ø	²⁴	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	4909:3
1864	i	1	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	4918:0
1865	n	1	ɯ	ɯ	i	ɿ	e	ɯ	ɯ	əɯ	i	ɯ	4918:1
1866	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	4918:2
1867	m	1	j	j	j	j	j	Ø	j	j	j	j	4929:0
1868	n	1	ɯ	ɯ	i	ɯ	i	Ø	ɯ	ou	ɯ	ɯ	4929:1
1869	t	1	1b/¹	²¹	²¹	²¹	¹²	Ø	²¹	²¹	³⁵	²¹	4929:2
1870	i	1	t	t	t	t	t	t	t	ts	t	t	4940:0
1871	m	1	u/w	u/w	-	y/ɥ	y/ɥ	y/ɥ	u/w	u/w	u/w	u/w	4940:1
1872	n	1	e	e	o	ᴇ/ɛ	e	i	e	e	e	e	4940:2
1873	c	1	n	n	-	-	n	-	n	n	-	-	4940:3
1874	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	4940:4
1875	m	1	j	j	j	Ø	j	Ø	j	j	j	j	4952:0
1876	n	1	ɯ	ɯ	i	Ø	u	Ø	ɯ	i	u	ɯ	4952:1
1877	t	1	⁴	⁴⁴	²²	Ø	²⁴	Ø	⁴⁴	⁴²	⁴²	⁴⁴	4952:2
1878	i	1	kʰ	Ø	Ø	Ø	qʰ	Ø	Ø	kʰ	kʰ	kʰ	4967:0
1879	m	1	u/w	Ø	Ø	Ø	u/w	Ø	Ø	u/w	u/w	u/w	4967:1
1880	n	1	ɛ	Ø	Ø	Ø	ɛ	Ø	Ø	i	ɛ	i	4967:2
1881	t	1	²	Ø	Ø	Ø	²²	Ø	Ø	³³	³³	⁴⁴	4967:3
1882	i	1	Ø	t	tɕʰ	Ø	Ø	tɕʰ	tɕʰ	Ø	Ø	Ø	4965:0
1883	m	1	Ø	-	-	Ø	Ø	-	i/j	Ø	Ø	Ø	4965:1
1884	n	1	Ø	ã	a	Ø	Ø	a	a	Ø	Ø	Ø	4965:2
1885	t	1	Ø	⁴²	⁴⁴	Ø	Ø	⁴⁴	⁴⁴	Ø	Ø	Ø	4965:3
1886	i	1	d	tʲ	t	t	t	t	t	t	t	t	4976:0
1887	m	1	j	-	-	-	-	-	-	-	-	-	4976:1
1888	n	1	ɯ	ɯ	ɯ	ə	i	ɯ	ə	əɯ	ɯ	ɯ	4976:2
1889	t	1	²	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	4976:3
1890	i	1	ŋ	-	Ø	Ø	Ø	ɲ	-	ɲ	-	ɲ	4987:0
1891	m	1	i/j	j	Ø	Ø	Ø	-	j	i/j	j	i/j	4987:1
1892	n	1	o	*/ə	Ø	Ø	Ø	u	õ	o	v/ʯ	ou	4987:2
1893	c	1	ŋ	ŋ	Ø	Ø	Ø	-	-	ŋ	ŋ	-	4987:3
1894	t	1	⁴	⁴⁴	Ø	Ø	Ø	⁴²	⁴⁴	⁵⁵	⁴²	⁴⁴	4987:4
1895	i	1	Ø	Ø	ts	ts	ts	Ø	Ø	Ø	Ø	Ø	4988:0
1896	n	1	Ø	Ø	o	a	ao	Ø	Ø	Ø	Ø	Ø	4988:1
1897	t	1	Ø	Ø	⁴²	²¹	²¹	Ø	Ø	Ø	Ø	Ø	4988:2
1898	i	1	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	4998:0
1899	m	1	u/w	i/j	y/ɥ	y/ɥ	-	y/ɥ	y/ɥ	y/ɥ	y/ɥ	y/ɥ	4998:1
1900	n	1	i	ui	i	i	y	i	i	i	i	i	4998:2
1901	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	4998:3
1902	i	1	tsʰ	tɕʰ	Ø	tɕ	tsʰ	Ø	tɕʰ	tɕʰ	tɕʰ	tɕʰ	5009:0
1903	m	1	j	i/j	Ø	i/j	-	Ø	i/j	-	i/j	i/j	5009:1
1904	n	1	æ	ɚ̃/ə̃	Ø	æ	a	Ø	a	ɚ/ə̃	a	ɛ	5009:2
1905	c	1	n	-	Ø	-	n	Ø	n	-	ŋ	-	5009:3
1906	t	1	¹	⁵⁵	Ø	²⁴	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	5009:4
1907	i	1	s	Ø	s	s	ʂ	ʂ	s	Ø	ʂ	Ø	5019:0
1908	m	1	r	Ø	-	-	-	-	-	Ø	-	Ø	5019:1
1909	n	1	e	Ø	ɛ	ɿ	i	ɚ/ə	a	Ø	ɚ/ə̃	Ø	5019:2
1910	c	1	ŋ	Ø	-	-	-	-	n	Ø	-	Ø	5019:3
1911	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	5019:4
1912	i	1	ʈ	ʈʂ	tɕ	tʲ	ts	ʈ	ts	ts	t	Ø	5027:0
1913	m	1	-	-	-	-	-	-	-	-	i	Ø	5027:1
1914	n	1	o	ou	u	u	u	u	ou	o	u	Ø	5027:2
1915	t	1	⁴	³³	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	Ø	5027:3
1916	i	1	tʲ	t	t	t	d	t	t	t	t	t	5037:0
1917	m	1	-	-	-	-	-	-	-	-	i/j	-	5037:1
1918	n	1	ɯ	ə	ɯ	ɚ/ə	i	ẽ	ə̃	ɯ	ɯ	ɯ	5037:2
1919	c	1	-	n	-	-	-	-	-	-	-	-	5037:3
1920	t	1	⁵	⁴²	⁴²	⁴³	²⁴	⁴²	⁴²	⁴²	²⁴	⁴²	5037:4
1921	i	1	ʈ	ʈʂʰ	tɕ	t	ʈʂ	ʈ	ts	tsʰ	tʲ	tsʰ	5048:0
1922	m	1	-	-	-	i/j	-	-	-	-	-	-	5048:1
1923	n	1	ɯ	ɚ/ə̃	i	ɯ	i	ɯ	i	e	ɯ	i	5048:2
1924	c	1	-	-	-	-	-	-	-	n	-	-	5048:3
1925	t	1	⁴	⁵⁵	⁴⁴	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	5048:4
1926	i	1	tsʰ	tɕʰ	tsʰ	Ø	tɕʰ	tsʰ	tɕʰ	tsʰ	tɕ	tɕʰ	5059:0
1927	m	1	u/w	y/ɥ	u/w	Ø	y/ɥ	u/w	y/ɥ	u/w	i/j	iu/ɥ	5059:1
1928	n	1	e	e	ɛ	Ø	e	ẽ	ẽ	e	e	e	5059:2
1929	c	1	n	n	-	Ø	n	-	-	n	n	-	5059:3
1930	t	1	¹	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	5059:4
1931	i	1	m	m	m	m	m	m	m	m	m	m	5071:0
1932	n	1	ɯ	ə̃	ɯ	ɯ	o	ɯ	ə̃	ə̃ɯ	ɯ	ɯ	5071:1
1933	c	1	-	-	-	-	ŋ	-	-	-	-	-	5071:2
1934	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	5071:3
1935	i	1	m	m	m	m	m	m	m	Ø	m	Ø	5082:0
1936	n	1	ɯ	ə̃	ɯ	ɯ	o	ɯ	ə̃	Ø	ɯ	Ø	5082:1
1937	c	1	-	-	-	-	ŋ	-	-	Ø	n	Ø	5082:2
1938	t	1	⁴	⁰	⁵⁵	⁵⁵	²⁴	⁵⁵	⁰	Ø	⁴²	Ø	5082:3
1939	i	1	m	m	m	m	m	m	m	m	m	m	5100:0
1940	n	1	ɔ	au	u	o	a	o	õ	o	ɔ	o	5100:1
1941	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	5100:2
1942	i	1	b	p	p	p	b	p	p	pʰ	b	p	5111:0
1943	n	1	æ	ɚ/ə	a	a	æ	a	a	ɚ/ə	a	ɛ	5111:1
1944	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	5111:2
1945	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	Ø	kʰ	qʰ	kʰ	5122:0
1946	m	1	u/w	u/w	u/w	u/w	u/w	u/w	Ø	u/w	u/w	u/w	5122:1
1947	n	1	a	a	a	a	a	a	Ø	a	o	a	5122:2
1948	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	⁴²	⁴⁴	5122:3
1949	i	1	ɣ	ɣ	Ø	ɣ	ɕ	Ø	ɣ	ɣ	ɣ	Ø	5143:0
1950	n	1	ɯ	ə	Ø	ɯ	i	Ø	ə	ɯ	ɯ	Ø	5143:1
1951	t	1	²	³³	Ø	²²	²²	Ø	³³	³³	³³	Ø	5143:2
1952	i	1	p	p	tɕ	Ø	tɕ	tɕ	p	p	tɕ	p	5152:0
1953	m	1	r	i/j	y/ɥ	Ø	y/ɥ	y/ɥ	-	i/j	y/ɥ	-	5152:1
1954	n	1	e	ɛ̃	i	Ø	e	i	i	e	e	i	5152:2
1955	c	1	n	-	-	Ø	n	-	-	n	n	-	5152:3
1956	t	1	¹	³⁵	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	5152:4
1957	i	1	m	Ø	m	m	m	m	Ø	Ø	m	m	5164:0
1958	n	1	o	Ø	ɯ	o	u	o	Ø	Ø	o	o	5164:1
1959	t	1	²	Ø	²²	²²	²²	²²	Ø	Ø	³³	³³	5164:2
1960	i	1	tɕ	tɕʰ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	5163:0
1961	n	1	i	i	i	i	i	i	i	i	i	i	5163:1
1962	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	5163:2
1963	i	1	ŋ	-	ɲ	Ø	Ø	ɲ	-	ɲ	-	ɲ	5181:0
1964	m	1	j	j	y/ɥ	Ø	Ø	-	j	-	j	-	5181:1
1965	n	1	o	ũ	i	Ø	Ø	u	ṽ/ʯ̃	õ	e	v/ʯ	5181:2
1966	c	1	-	-	-	Ø	Ø	-	-	-	n	-	5181:3
1967	t	1	²	³³	²²	Ø	Ø	²²	³³	³³	³⁵	³³	5181:4
1968	i	1	ɖʐ	ʈʂ	tɕ	tɕ	dz	tɕ	ts	dz	ʐ	ts	5192:0
1969	m	1	-	-	i	i/j	-	i	-	-	-	-	5192:1
1970	n	1	u	o	u	o	ao	u	ṽ/ʯ̃	õ	v/ʯ	v/ʯ	5192:2
1971	c	1	ŋ	-	-	-	-	-	-	-	-	-	5192:3
1972	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	5192:4
1973	i	1	ʁ	Ø	ŋ	ʁ	ʁ	Ø	Ø	ɣ	ŋ	ŋ	5204:0
1974	n	1	o	Ø	õ	o	a	Ø	Ø	o	o	v/ʯ	5204:1
1975	c	1	ŋ	Ø	-	-	ŋ	Ø	Ø	ŋ	ŋ	-	5204:2
1976	t	1	1b/¹	Ø	²¹	²¹	¹²	Ø	Ø	²¹	³⁵	²¹	5204:3
1977	i	1	dʑ	tɕ	ts	ts	dʑ	ts	tɕ	tɕ	ʑ	tɕ	5214:0
1978	m	1	-	i/j	-	-	-	-	-	-	i/j	-	5214:1
1979	n	1	e	e	i	i	i	i	i	ĩ	e	i	5214:2
1980	c	1	n	n	-	-	-	-	-	-	n	-	5214:3
1981	t	1	¹	²¹	²¹	²¹	²¹	²¹	²¹	⁴²	³⁵	³¹	5214:4
1982	i	1	n	n	n	n	n	n	n	n	n	n	5225:0
1983	n	1	ɔ	õ	o	o	a	o	ou	e	ɔ	o	5225:1
1984	c	1	-	-	-	-	-	-	-	n	-	-	5225:2
1985	t	1	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	⁴²	²¹	³¹	5225:3
1986	i	1	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	5236:0
1987	m	1	j	-	-	-	-	i/j	-	-	-	-	5236:1
1988	n	1	e	e	i	i	i	e	i	ɛ	i	e	5236:2
1989	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	5236:3
1990	i	1	ŋ	-	Ø	Ø	Ø	Ø	-	Ø	-	Ø	5247:0
1991	m	1	j	j	Ø	Ø	Ø	Ø	j	Ø	j	Ø	5247:1
1992	n	1	o	ũ	Ø	Ø	Ø	Ø	ṽ/ʯ̃	Ø	v/ʯ	Ø	5247:2
1993	c	1	-	-	Ø	Ø	Ø	Ø	-	Ø	ŋ	Ø	5247:3
1994	t	1	²	³³	Ø	Ø	Ø	Ø	³³	Ø	³³	Ø	5247:4
